2026-04-14 12:12:48.750 [info] [McpGatewayService] Initialized
2026-04-14 13:04:14.008 [info] [McpGateway][Channel] Client disconnected: window:2, cleaning up gateways
2026-04-14 13:04:15.320 [info] [McpGateway][Channel] Client disconnected: window:2, cleaning up gateways
2026-04-14 13:09:00.343 [info] [McpGateway][Channel] Client disconnected: window:2, cleaning up gateways
2026-04-14 13:09:00.344 [info] [McpGateway][Channel] Client disconnected: window:2, cleaning up gateways
2026-04-14 13:12:29.079 [info] [McpGateway][Channel] Client disconnected: window:3, cleaning up gateways
2026-04-14 13:12:29.586 [info] [McpGateway][Channel] Client disconnected: window:3, cleaning up gateways
2026-04-14 13:12:58.059 [info] [McpGateway][Channel] Client disconnected: window:3, cleaning up gateways
2026-04-14 13:12:58.059 [info] [McpGateway][Channel] Client disconnected: window:3, cleaning up gateways
2026-04-14 13:14:07.438 [info] [McpGateway][Channel] Client disconnected: window:4, cleaning up gateways
2026-04-14 13:14:07.845 [info] [McpGateway][Channel] Client disconnected: window:4, cleaning up gateways
2026-04-14 16:31:29.465 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
